Tweet_count,Username,Location,Created At,Likes,Text
3876,Sports Today,"Noida, India",Mon Nov 25 16:51:24 +0000 2024,1,"#GT Squad IPL 2025: #GujaratTitans break bank on #JosButtler, #MohammedSiraj also roped in for 12.25 cr
#IPLAuction2025 #IPLAuction #IPL2025
https://t.co/CIYDbCA4dP"
3877,Ahmed Says,,Tue Jul 23 18:45:47 +0000 2024,31,"Best 11 of Gujarat Titans which is possible
1 Shubman Gill ( C )
2 Phil Salt  (WK)✈️ 
3 Sai Sudarshan 
4 David Miller / Tristan Stubbs✈️
5 Ramandeep Singh
6 Rahul Tewatia
7 Rashid Khan ✈️
8 Md Shami
9 Noor Ahmad✈️ 
10 Khaleel / Umran 
11 Harshit / Mohit

#GujaratTitans #IPL2025 https://t.co/xcI4g4EYxd"
3878,Gujarat Titans,,Mon Dec 02 07:44:34 +0000 2024,73,"Your squad = your superpower!  💥 Winning is better with friends! 🎉Turn your referrals into rewards🥇

Sign up on the Titans FAM App using - https://t.co/jLOmOFfDed  🔗  

#GujaratTitans #RaceWithTheTitans #AavaDe #WinterRun https://t.co/JW7WPTCP2y"
3879,National Cricket League,Dallas Texas,Tue Nov 26 15:47:01 +0000 2024,0,"Gujarat Titans shine bright at IPL Auction 2025! Big buys include Jos Buttler, Shubman Gill, and Rashid Khan. 

Check the full list at https://t.co/BSOx0ofVUL. 
Stay tuned for more! 

#IPLAuction #GujaratTitans #IPL2025 https://t.co/BZHXsjfOZc"
3880,Covering Sports,,Tue Nov 26 05:29:52 +0000 2024,1,"Gujarat Titans has assembled a strong squad ahead of the IPL 2025!

#GujaratTitans https://t.co/ihdL35L1yB"
3881,amitava,Kolkata,Thu Nov 28 04:04:14 +0000 2024,2,"IPL2025 : All Squad analysis in brief https://t.co/76l32mYC7B

#IPLAuction  #IPLAuction2025 #IPLretention #IPLRetention2025 #IPL2025 #IPLauctions2025 #MumbaiIndians #DelhiCapitals #GujaratTitans #CSK #RCB #SRH #pbks #LSG #RajasthanRoyals  #ChennaiSuperKings  #CricketTwitter https://t.co/I5U7frBH9f"
3882,Gujarat Titans,,Fri Dec 06 12:21:45 +0000 2024,36,"Real stories, real inspiration 👊🏽
Now it’s your turn 💪
Join the Winter Run today and make your mark! 🌟
Stay tuned for exciting updates.
Download the Titans FAM App Now &amp; Sign up with https://t.co/jLOmOFfDed

#GujaratTitans #RaceWithTheTitans #AavaDe #WinterRun https://t.co/PsW1Ib5J7j"
3883,100MB,,Thu Oct 10 12:35:48 +0000 2024,8,"Our potential retention and RTM picks for Gujarat Titans ahead of the IPL 2025 auction! 🔵

Comment down your thoughts below 👇🏻

#GujaratTitans #IPL #IPLAuction https://t.co/7XbQVv9DFv"
3884,DNA,,Tue Nov 26 11:21:29 +0000 2024,0,"IPL Auction 2025: Gujarat Titans Full Squad I GT Squad In IPL 2025 I GT Players List I Shubman Gill

#DNAVideos | #IPLAuction2025 | #IPLMegaAuction | #IPLMegaAuction2025 | #GujaratTitans | #GT | #IPL2025  

For more videos, click here https://t.co/6ddeGFqM3o https://t.co/gw4s4EW0VK"
3885,Republic Sport Fit (R. Sport Fit),"Mumbai, India",Thu Oct 31 04:19:36 +0000 2024,0,"Gujarat Titans List of Released &amp; Retained Players.
.
.
.
#GujaratTitans #IPLRetention #ShubmanGill 

https://t.co/yyi31GW2aN"
3886,SportsTiger,,Thu Nov 28 07:35:45 +0000 2024,1,"Most runs for Gujarat Titans in the IPL:-

1799 - Shubman Gill 
1034 - Sai Sudharsan 
950 - David Miller 
833 - Hardik Pandya 
824 - Wriddhiman Saha

#IPL #gujarattitans #Cricket #CricketTwitter #Statistics"
3887,100MB,,Thu Oct 31 18:33:18 +0000 2024,7,"Rashid Khan gets the nod ahead of captain Shubman Gill as the top retention pick 🚨

Here is the list of retained players for Gujrat Titans in IPL 2025 🔵

They will enter the auction with a purse of 69 Cr. ✅

What’s your take on these retentions? 🤔

#GujaratTitans #IPL https://t.co/BXeKhEDByB"
3888,CRICKETNMORE,"New Delhi, India",Tue Nov 26 14:34:42 +0000 2024,0,"Rating all 10 Squads of IPL 2025!

#LSG #RCB #MumbaiIndians #DelhiCapitals #KKR #RCB #CSK #SRH #PunjabKings #GujaratTitans https://t.co/jXDni952wS"
3889,𝕏𝘢𝘯𝘥𝘦𝘳 ᵂᵒˡᶠ,Banglore ,Sat Nov 23 14:50:52 +0000 2024,3,"THE SIX HITTING OF HARDIK PANDYA. 🥶

#HardikPandya #GujaratTitans 
https://t.co/czrEiiue9F"
3890,TOI Sports,"New Delhi, India",Sun Nov 24 11:04:20 +0000 2024,14,"#IPLMegaAuction: #GujaratTitans find their wicketkeeper-batter; buy #JosButtler for Rs 15.75 crore 

Details 👉 https://t.co/KQgaD3VdMX 

#IPL2025Auction #IPL2025 #IPLAuction https://t.co/6HLq6mgPSH"
3891,Sports Tak,,Tue Nov 26 08:48:45 +0000 2024,3,"Check #GujaratTitans' #IPL2025 squad
https://t.co/x99BfX1NgL https://t.co/fsO3I07z1z"
3892,𝙲𝚘𝚗𝚚𝚞𝚎𝚛𝚘𝚛 🍃,,Wed Nov 27 05:11:51 +0000 2024,5,"My only concern now (fandom wise) is I don't want these classless, loud, pea-brained HaaRCBians who have lost faith in their tinpot franchise to start backing #GujaratTitans under the garb of supporting Siraj and bring their absolute sub-human behavior to our franchise.
#RCB #IPL"
3893,waniumer,Bandipora ~ Bangalore,Sun Nov 24 11:28:45 +0000 2024,2,"IPL 2025 Auction | Jos Buttler sold to Gujarat Titans at Rs. 15.75 crore
#IPL2025 #JosButtler #GujaratTitans #CricketAuction #RecordSale #15CroreClub #ExcitingBids #IPLTwentyTwentyFive #BigMoneyMoves #PlayerTransfers https://t.co/OPXoJyDwHm"
3894,Mr. Shaz,Planet Earth,Mon Nov 25 20:31:12 +0000 2024,2,"The Titans are ready to defend their legacy in #TATAIPL 2025! 💙⚡ 

Witness Gujarat's power play! 🏏 

#GujaratTitans #GT #IPL2025
#TATAIPLAuction #IPLauctions2025 https://t.co/1c4KpvEV5O"
3895,Rozana Spokesman,"Mohali, India",Sun Nov 24 10:32:59 +0000 2024,0,"#IPL2024: 
#KagisoRabada sold to #GujaratTitans for Rs 10.75 crore https://t.co/92E6d9JXcP"
3896,TOI Sports,"New Delhi, India",Sun Nov 24 11:32:52 +0000 2024,15,"#IPL2025MegaAuction: #GujaratTitans say no to #RTM again as #DavidMiller goes to #LSG for Rs 7.50 crore 

Details 👉 https://t.co/jKDDEUyZSt 

#IPL2025 #IPLAuction https://t.co/JzTyk6uYBF"
3897,Gujarat Titans,,Fri Nov 29 12:47:36 +0000 2024,47,"Winter is here! 💥
Are you ready to conquer the chill, outshine the rest, and finish 2024 stronger than ever? 💪 and WIN big this preseason!🏆

Download the Titans FAM App Now &amp; Sign up with https://t.co/jLOmOFfDed 🔗

#GujaratTitans #RaceWithTheTitans #AavaDe #WinterRun https://t.co/cW6IsgezhX"
3898,Times Now Sports,,Tue Nov 26 01:16:47 +0000 2024,5,"#GujaratTitans assistant coach #ParthivPatel has said that captain #ShubmanGill showed that he is a true leader by agreeing to become the team's second-choice retention.

#IPLretention #IPLAuction 

https://t.co/1zgTc5hV1i"
3899,Ahmed Says,,Fri Aug 09 13:25:17 +0000 2024,71,"Ashish Nehra Future as the GT Head Coach is Uncertain ( Cricbuzz )
If Not Nehra whom you Want as New GT Head Coach?

#GujaratTitans https://t.co/zkoWw5ydKd"
3900,Jasss💙,India,Tue Nov 26 04:44:18 +0000 2024,2,"boys 💙

#GujaratTitans #ShubmanGill https://t.co/4tAqpL10Ih"
3901,Khel Cricket,India,Tue Nov 26 14:08:46 +0000 2024,0,"All squads decked up for the IPL 2025 !!

Whom are you supporting ?

#ChennaiSuperKings #GujaratTitans #DelhiCapitals #kolkataknightriders https://t.co/mU8KDWsLIM"
3902,Praveen Kumar Tiwari,India,Mon Nov 25 14:32:21 +0000 2024,0,"Best Deal of the Day ❓ 
#GT #Sundar #MI #WILLJACKS #RCB #TimDavid #SamCurran #CSK #ChennaiSuperKings #RoyalChallengersBengaluru #MumbaiIndians #GujaratTitans #IPLAuction #ipl2025auction #IPLAuctiononJioStar #IPLRetention2025 #Auction2025 #IPLretention"
3903,Republic Sport Fit (R. Sport Fit),"Mumbai, India",Wed Nov 27 11:27:32 +0000 2024,0,"Rishabh Pant's Record of Fastest T20 Century By An Indian Broken By Unsold IPL Player

#RishabhPant #IPL #SyedMushtaqAliTrophy #UrvilPatel #GujaratTitans #IPLAuction #IPL2025

https://t.co/iykQxEVqUi"
